cod_mun_origem,cod_mun_destino,total_passagens_2019,total_passagens_2020,tempo_medio_2019,tempo_medio_2020
3509502,2111300,9193.0,4291.0,-2,195
1400100,5300108,9190.0,8899.0,210,215
2111300,3509502,9184.0,4187.0,-2,204
3509502,4108304,9173.0,3502.0,99,95
5103403,2927408,9138.0,8384.0,-2,-2
1505536,3106200,9122.0,,145,
3106200,1505536,9103.0,,153,
4115200,3304557,9098.0,5605.0,-2,-2
2800308,3509502,9091.0,7525.0,-2,161
3550308,5107909,9064.0,,-2,
5300108,1200401,9034.0,7978.0,200,199
3509502,3136702,8973.0,,92,
2927408,5103403,8952.0,8606.0,-2,-2
2304400,4208203,8946.0,6634.0,-2,-2
3509502,2800308,8932.0,8174.0,-2,157
3549805,5300108,8923.0,,-2,
5300108,2105302,8922.0,,113,
2211001,3106200,8827.0,6959.0,-2,-2
2927408,2111300,8815.0,4730.0,-2,123
2925303,5208707,8806.0,,109,
2704302,4106902,8779.0,9251.0,-2,-2
2105302,5300108,8776.0,,114,
2408102,5208707,8763.0,5005.0,-2,168
1304203,1302603,8727.0,,72,
2927408,5002704,8710.0,5576.0,-2,-2
4205407,5103403,8677.0,8194.0,-2,-2
4208203,2304400,8638.0,6338.0,-2,-2
5107909,3550308,8634.0,,-2,
1100205,2611606,8597.0,6236.0,-2,-2
4108304,3205309,8593.0,4867.0,-2,-2
2111300,2927408,8577.0,4832.0,-2,129
5103403,4205407,8540.0,8248.0,-2,-2
5002704,2927408,8496.0,5646.0,-2,-2
4115200,4314902,8468.0,4855.0,-2,-2
4314902,4115200,8466.0,4902.0,-2,-2
1200401,5300108,8434.0,8083.0,191,197
2611606,1100205,8407.0,6497.0,-2,-2
3205309,4108304,8361.0,4819.0,-2,-2
4106902,2704302,8357.0,8945.0,-2,-2
5300108,1506807,8340.0,5779.0,153,153
5208707,2925303,8322.0,,107,
5208707,2408102,8294.0,4789.0,-2,168
4208203,1501402,8290.0,7957.0,-2,-2
4113700,3106200,8290.0,,-2,
1302603,2111300,8256.0,6620.0,-2,-2
2304400,5002704,8242.0,5222.0,-2,-2
3106200,4113700,8140.0,,-2,
3106200,2211001,8130.0,6302.0,-2,222
1506807,5300108,8086.0,5854.0,153,156
2304400,4205407,8072.0,8522.0,-2,-2
4205407,2304400,8031.0,8182.0,-2,-2
1721000,3106200,8030.0,4393.0,-2,159
3509502,2933307,7996.0,,-2,
4205407,3170206,7986.0,5570.0,-2,-2
